lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
54,MSC,15,104.08,173.19,SOFT,5,False,Safety
55,PER,3,136.838,21.438,SOFT,5,True,Safety
55,SAI,4,107.011,23.402,HARD,36,False,Safety
55,BOT,5,107.158,24.822,HARD,26,False,Safety
55,TSU,6,103.335,28.005,SOFT,5,False,Safety
55,GAS,7,120.394,44.957,SOFT,1,True,Safety
55,NOR,8,145.212,0.0,MEDIUM,7,False,Safety
55,ALO,9,145.226,0.82,MEDIUM,19,False,Safety
55,OCO,10,146.235,3.148,HARD,41,False,Safety
55,LEC,11,146.191,3.933,MEDIUM,25,False,Safety
55,VET,12,146.006,6.202,HARD,32,False,Safety
55,RIC,13,144.782,7.734,SOFT,6,False,Safety
55,STR,14,145.787,160.77,SOFT,3,False,Safety
55,MSC,15,138.615,164.768,SOFT,6,False,Safety
56,HAM,1,145.761,0.0,HARD,43,False,Safety
56,VER,2,146.432,8.54,SOFT,6,False,Safety
56,SAI,3,139.106,163.784,HARD,37,False,Safety
56,BOT,4,139.183,165.281,HARD,27,False,Safety
56,TSU,5,137.844,167.125,SOFT,6,False,Safety
56,GAS,6,122.485,168.718,SOFT,2,False,Safety
56,NOR,7,119.05,120.326,MEDIUM,8,False,Safety
56,ALO,8,119.466,121.562,MEDIUM,20,False,Safety
56,OCO,9,118.878,123.302,HARD,42,False,Safety
56,LEC,10,118.448,123.657,MEDIUM,26,False,Safety
56,VET,11,120.34,127.818,HARD,33,False,Safety
56,RIC,12,142.051,151.061,SOFT,7,False,Yellow
56,STR,13,141.035,303.081,SOFT,4,False,Yellow
56,MSC,14,139.025,305.069,SOFT,7,False,Yellow
57,HAM,1,148.331,0.0,HARD,44,False,Yellow
57,VER,2,141.895,2.104,SOFT,7,False,Yellow
57,SAI,3,139.998,155.451,HARD,38,False,Yellow
57,BOT,4,139.191,156.141,HARD,28,False,Yellow
57,TSU,5,138.101,156.895,SOFT,7,False,Yellow
57,GAS,6,136.957,157.344,SOFT,3,False,Yellow
57,NOR,7,87.46,59.455,MEDIUM,9,False,Yellow
57,ALO,8,88.007,61.238,MEDIUM,21,False,Yellow
57,OCO,9,88.419,63.39,HARD,43,False,Yellow
57,LEC,10,88.644,63.97,MEDIUM,27,False,Yellow
57,VET,11,88.37,67.857,HARD,34,False,Yellow
57,RIC,12,89.48,92.21,SOFT,8,False,Green
57,STR,13,92.389,247.139,SOFT,5,False,Green
57,MSC,14,91.021,247.759,SOFT,8,False,Green
58,VER,1,86.618,0.0,SOFT,8,False,Green
58,HAM,2,89.33,0.608,HARD,45,False,Green
58,SAI,3,88.879,155.608,HARD,39,False,Green
58,TSU,4,87.954,156.127,SOFT,8,False,Green
58,GAS,5,88.344,156.966,SOFT,4,False,Green
58,BOT,6,90.479,157.898,HARD,29,False,Green
58,NOR,7,86.762,57.495,MEDIUM,10,False,Green
58,ALO,8,87.607,60.123,MEDIUM,22,False,Green
58,OCO,9,88.249,62.917,HARD,44,False,Green
58,LEC,10,89.557,64.805,MEDIUM,28,False,Green
58,VET,11,88.303,67.438,HARD,35,False,Green
